Год,Тип обработки,GPS №,повторность,Размер сухого агрегата,Размеры фракций,"Вес образца, г",region
2019,ТТ,Архангельский,5,10-7,7-5,0.9099999999999966,архангельский
2019,ТТ,Архангельский,5,10-7,5-4,0.5699999999999932,архангельский
2019,ТТ,Архангельский,5,10-7,4-3,0.7099999999999937,архангельский
2019,ТТ,Архангельский,5,10-7,3-2,0.8000000000000114,архангельский
2019,ТТ,Архангельский,5,10-7,2-1,1.75,архангельский
2019,ТТ,Архангельский,5,10-7,1-0.25,6.759999999999991,архангельский
2019,ТТ,Архангельский,5,7-5,>5,2.1400000000000006,архангельский
2019,ТТ,Архангельский,5,7-5,5-4,0.7000000000000028,архангельский
2019,ТТ,Архангельский,5,7-5,4-3,0.9699999999999989,архангельский
2019,ТТ,Архангельский,5,7-5,3-2,1.710000000000008,архангельский
2019,ТТ,Архангельский,5,7-5,2-1,3.069999999999993,архангельский
2019,ТТ,Архангельский,5,7-5,1-0.25,6.030000000000001,архангельский
2019,ТТ,Архангельский,5,5-3,>3,0.480000000000004,архангельский
2019,ТТ,Архангельский,5,5-3,3-2,2.1200000000000045,архангельский
2019,ТТ,Архангельский,5,5-3,2-1,3.3599999999999994,архангельский
2019,ТТ,Архангельский,5,5-3,1-0.25,8.580000000000013,архангельский
2019,ПП,Архангельский,1,>10,>10,6.3799999999999955,архангельский
2019,ПП,Архангельский,1,>10,10-7,0.6599999999999966,архангельский
2019,ПП,Архангельский,1,>10,7-5,1.660000000000025,архангельский
2019,ПП,Архангельский,1,>10,5-3,2.7700000000000102,архангельский
2019,ПП,Архангельский,1,>10,3-2,1.1200000000000045,архангельский
2019,ПП,Архангельский,1,>10,2-1,1.4200000000000017,архангельский
2019,ПП,Архангельский,1,>10,1-0.25,2.460000000000008,архангельский
2019,ПП,Архангельский,1,10-7,>7,5.159999999999997,архангельский
2019,ПП,Архангельский,1,10-7,7-5,0.30000000000001137,архангельский
2019,ПП,Архангельский,1,10-7,5-4,1.2999999999999972,архангельский
2019,ПП,Архангельский,1,10-7,4-3,1.6099999999999994,архангельский
2019,ПП,Архангельский,1,10-7,3-2,1.3400000000000034,архангельский
2019,ПП,Архангельский,1,10-7,2-1,1.7399999999999949,архангельский
2019,ПП,Архангельский,1,10-7,1-0.25,4.02000000000001,архангельский
2019,ПП,Архангельский,1,7-5,>5,3.089999999999989,архангельский
2019,ПП,Архангельский,1,7-5,5-4,2.269999999999996,архангельский
2019,ПП,Архангельский,1,7-5,4-3,1.9800000000000182,архангельский
2019,ПП,Архангельский,1,7-5,3-2,1.240000000000009,архангельский
2019,ПП,Архангельский,1,7-5,2-1,2.369999999999976,архангельский
2019,ПП,Архангельский,1,7-5,1-0.25,4.039999999999992,архангельский
2019,ПП,Архангельский,1,5-3,>3,4.38000000000001,архангельский
2019,ПП,Архангельский,1,5-3,3-2,2.5999999999999943,архангельский
2019,ПП,Архангельский,1,5-3,2-1,2.219999999999999,архангельский
2019,ПП,Архангельский,1,5-3,1-0.25,6.27000000000001,архангельский
2019,ПП,Архангельский,2,>10,>10,3.039999999999992,архангельский
2019,ПП,Архангельский,2,>10,10-7,1.0300000000000011,архангельский
2019,ПП,Архангельский,2,>10,7-5,1.9800000000000182,архангельский
2019,ПП,Архангельский,2,>10,5-3,3.9799999999999898,архангельский
2019,ПП,Архангельский,2,>10,3-2,1.5499999999999972,архангельский
2019,ПП,Архангельский,2,>10,2-1,1.5300000000000011,архангельский
2019,ПП,Архангельский,2,>10,1-0.25,2.6099999999999994,архангельский
2019,ПП,Архангельский,2,10-7,>7,7.400000000000006,архангельский
2019,ПП,Архангельский,2,10-7,7-5,2.030000000000001,архангельский
2019,ПП,Архангельский,2,10-7,5-4,2.039999999999992,архангельский
2019,ПП,Архангельский,2,10-7,4-3,1.0700000000000074,архангельский
2019,ПП,Архангельский,2,10-7,3-2,0.5400000000000205,архангельский
2019,ПП,Архангельский,2,10-7,2-1,1.2099999999999937,архангельский
2019,ПП,Архангельский,2,10-7,1-0.25,1.8000000000000114,архангельский
2019,ПП,Архангельский,2,7-5,>5,1.6299999999999955,архангельский
2019,ПП,Архангельский,2,7-5,5-4,2.4200000000000017,архангельский
2019,ПП,Архангельский,2,7-5,4-3,3.160000000000025,архангельский
2019,ПП,Архангельский,2,7-5,3-2,1.5600000000000023,архангельский
2019,ПП,Архангельский,2,7-5,2-1,1.490000000000009,архангельский
2019,ПП,Архангельский,2,7-5,1-0.25,3.8400000000000034,архангельский
2019,ПП,Архангельский,2,5-3,>3,5.3999999999999915,архангельский
2019,ПП,Архангельский,2,5-3,3-2,2.8899999999999864,архангельский
2019,ПП,Архангельский,2,5-3,2-1,2.4099999999999966,архангельский
2019,ПП,Архангельский,2,5-3,1-0.25,4.299999999999997,архангельский
2019,ПП,Архангельский,3,>10,>10,8.219999999999999,архангельский
2019,ПП,Архангельский,3,>10,10-7,0.37999999999999545,архангельский
2019,ПП,Архангельский,3,>10,7-5,0.7700000000000102,архангельский
2019,ПП,Архангельский,3,>10,5-3,1.9799999999999898,архангельский
2019,ПП,Архангельский,3,>10,3-2,1.0899999999999892,архангельский
2019,ПП,Архангельский,3,>10,2-1,1.7399999999999949,архангельский
2019,ПП,Архангельский,3,>10,1-0.25,2.480000000000018,архангельский
2019,ПП,Архангельский,3,10-7,>7,2.240000000000009,архангельский
2019,ПП,Архангельский,3,10-7,7-5,2.030000000000001,архангельский
2019,ПП,Архангельский,3,10-7,5-4,2.200000000000003,архангельский
2019,ПП,Архангельский,3,10-7,4-3,1.5999999999999943,архангельский
2019,ПП,Архангельский,3,10-7,3-2,1.0199999999999818,архангельский
2019,ПП,Архангельский,3,10-7,2-1,0.8700000000000045,архангельский
2019,ПП,Архангельский,3,10-7,1-0.25,4.72999999999999,архангельский
2019,ПП,Архангельский,3,7-5,>5,1.6599999999999966,архангельский
2019,ПП,Архангельский,3,7-5,5-4,5.739999999999995,архангельский
2019,ПП,Архангельский,3,7-5,4-3,1.740000000000009,архангельский
2019,ПП,Архангельский,3,7-5,3-2,0.8700000000000045,архангельский
2019,ПП,Архангельский,3,7-5,2-1,1.2199999999999989,архангельский
2019,ПП,Архангельский,3,7-5,1-0.25,4.22999999999999,архангельский
2019,ПП,Архангельский,3,5-3,>3,1.9699999999999989,архангельский
2019,ПП,Архангельский,3,5-3,3-2,2.569999999999993,архангельский
2019,ПП,Архангельский,3,5-3,2-1,4.009999999999991,архангельский
2019,ПП,Архангельский,3,5-3,1-0.25,6.349999999999994,архангельский
2019,ПП,Архангельский,4,>10,>10,4.930000000000007,архангельский
2019,ПП,Архангельский,4,>10,10-7,0.21999999999999886,архангельский
2019,ПП,Архангельский,4,>10,7-5,0.700000000000017,архангельский
2019,ПП,Архангельский,4,>10,5-3,2.3499999999999943,архангельский
2019,ПП,Архангельский,4,>10,3-2,1.269999999999996,архангельский
